Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO
김수완,Giants,21,0,3,6.685714285714286,24,2,0,0,0,0,1,35,166,46,29,26,2,17,2,1,3,1,29
최성민,Twins,20,2,1,3.3750053308988375,18,0,0,0,0,0,1,21.1,103,18,8,8,0,23,2,3,2,0,12
한희,Twins,21,2,1,2.272278429235251,47,0,0,0,0,0,7,67.1,275,47,19,17,3,22,1,7,2,0,51
고원준,Giants,21,9,7,4.185580176678393,36,22,3,2,2,0,0,152.2,670,163,77,71,15,59,1,6,10,0,85
강윤구,Heroes,20,3,1,2.142857142857143,6,3,0,0,0,0,0,21,84,15,5,5,0,11,0,0,1,0,11
정인욱,Lions,20,6,2,2.25,31,9,0,0,0,0,0,80,323,56,22,20,9,32,3,4,3,0,60
이우선,Lions,28,0,0,3.3529411764705883,35,0,0,0,0,0,0,51,211,47,19,19,5,14,0,3,2,0,35
박성호,Tigers,24,0,2,6.464779527870635,23,1,0,0,0,0,0,23.2,112,28,17,17,1,17,1,1,1,0,20
장민재,Eagles,21,1,7,6.057031760605362,36,15,0,0,0,0,1,87.2,419,113,62,59,12,49,0,4,10,0,52
박현준,Twins,24,13,10,4.179217367461611,29,27,0,0,0,0,0,163.2,711,153,88,76,13,68,1,11,4,1,137
김태훈,Wyverns,21,0,0,4,16,0,0,0,0,0,1,18,82,18,8,8,0,11,1,1,3,0,15
전준호,Wyverns,36,0,0,3.6,6,0,0,0,0,0,0,10,42,9,4,4,1,2,0,0,0,0,5
정현욱,Lions,32,4,3,2.3640564631726835,59,0,0,0,1,2,24,72.1,303,70,22,19,4,30,0,4,3,0,52
이상열,Twins,34,0,6,3.8863636363636362,77,0,0,0,3,5,18,44,187,45,23,19,2,12,1,1,1,0,27
이정훈,Heroes,33,3,3,3.7834417886441156,44,0,0,0,1,3,7,52.1,229,50,24,22,1,19,3,6,6,0,31
김수경,Heroes,31,1,2,3.391304347826087,18,10,0,0,0,0,0,69,289,65,27,26,6,22,1,2,3,0,37
김광삼,Twins,30,4,5,4.741935483870968,22,19,0,0,0,0,0,93,416,108,58,49,8,41,0,4,4,0,41
송신영,Twins,34,3,3,2.239632438795174,62,0,0,0,19,4,7,72.1,302,67,19,18,4,20,4,5,4,0,57
권오준,Lions,31,1,1,2.7931052853191543,53,0,0,0,0,3,11,48.1,203,48,17,15,2,10,1,2,0,0,52
김사율,Giants,31,5,3,3.256283154816907,61,0,0,0,20,4,2,66.1,275,60,27,24,4,22,3,2,7,1,54
유동훈,Tigers,34,3,3,3.9375,47,0,0,0,7,4,2,48,201,51,23,21,4,12,3,4,0,0,21
박정진,Eagles,35,7,6,3.244186046511628,64,0,0,0,7,1,16,86,353,70,33,31,6,28,0,1,5,0,92
매그레인,Wyverns,32,2,6,5.366456448539326,16,14,0,0,0,0,0,53.2,235,63,32,32,9,19,0,4,1,0,38
오넬리,Eagles,28,4,1,5.829552151208878,27,0,0,0,6,5,1,29.1,130,29,19,19,4,12,3,2,2,0,24
배영수,Lions,30,6,8,5.41747572815534,25,17,0,0,0,0,1,103,460,127,67,62,5,27,1,6,5,1,47
강영식,Giants,30,2,1,3.5121951219512195,64,0,0,0,1,1,16,41,177,35,16,16,5,22,1,2,5,1,39
정재훈,Bears,31,2,6,2.872338968470265,45,0,0,0,8,6,9,62.2,247,47,23,20,5,22,4,3,2,1,65
조태수,Tigers,28,0,0,4.9655172413793105,21,0,0,0,0,0,0,29,120,31,16,16,4,9,0,0,1,0,16
장원준,Giants,25,15,6,3.138370464062537,29,28,0,0,0,0,0,180.2,774,195,72,63,7,62,2,9,3,0,129
허준혁,Giants,25,0,0,4.821419867949724,13,0,0,0,0,0,0,18.2,79,13,10,10,1,8,1,3,0,0,8
윤희상,Wyverns,26,3,1,4.8214252870932395,20,7,0,0,0,0,0,46.2,207,55,27,25,8,12,0,3,1,1,32
손승락,Heroes,29,4,2,1.8917208943220578,49,0,0,0,17,5,2,52.1,202,41,12,11,2,13,1,1,0,0,41
이현승,Bears,27,3,5,4.821426272393369,50,5,0,0,4,1,6,74.2,325,85,43,40,8,26,0,5,4,0,50
차우찬,Lions,24,10,6,3.6928166472870227,24,24,0,0,0,0,0,148.2,650,156,75,61,22,62,0,3,2,2,114
한기주,Tigers,24,1,3,4.081390551329785,16,3,0,0,7,1,0,28.2,126,31,13,13,0,11,0,1,2,0,20
박희수,Wyverns,27,4,2,1.8805970149253732,39,0,0,0,1,0,8,67,265,40,19,14,3,30,3,3,2,1,76
이용찬,Bears,22,6,10,4.186046511627907,28,21,0,0,0,0,0,129,575,136,67,60,7,60,0,8,8,3,99
이재곤,Giants,22,3,5,6.352937612568568,39,7,0,0,1,0,2,56.2,262,74,52,40,9,25,2,5,2,0,16
고창성,Bears,26,1,4,4.4407866874577575,51,0,0,0,0,0,14,50.2,228,50,27,25,4,24,2,7,3,0,40
김일엽,Giants,31,1,0,4.709296789995906,23,0,0,0,0,0,1,28.2,127,31,15,15,3,11,0,3,1,0,21
진명호,Giants,22,1,2,4.875,31,1,0,0,0,1,0,48,213,48,32,26,6,26,1,0,6,0,45
카도쿠라,Lions,37,5,6,4.065638742305281,16,16,1,1,0,0,0,86.1,376,92,55,39,9,31,0,5,5,0,62
이혜천,Bears,32,1,4,6.352941176470588,32,3,0,0,1,0,4,34,152,31,27,24,2,17,1,4,4,0,30
임경완,Giants,35,4,3,3.1522825548218174,72,0,0,0,0,2,18,65.2,268,60,28,23,4,15,1,6,2,0,34
이승호,Wyverns,29,6,3,4.2,26,7,0,0,0,0,0,60,262,46,29,28,7,39,0,4,7,1,51
주키치,Twins,28,10,8,3.5967963105778584,32,31,1,1,1,0,0,187.2,773,174,86,75,9,53,2,1,7,3,150
송승준,Giants,31,13,10,4.177957971545106,30,29,0,0,0,0,0,172.1,730,181,84,80,17,59,1,7,6,1,126
