Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,BS,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,PlayerId
박경태,Tigers,20,0,0,6.923076923076923,13,0,0,0,0,0,0,13,54,9,10,10,1,7,0,1,0,0,8,kr3013134
김경선,Eagles,24,0,0,4.153846153846154,6,0,0,0,0,0,0,13,56,12,6,6,0,5,0,1,0,1,7,kr3013137
유원상,Eagles,22,5,4,4.657669393232186,32,21,0,0,0,0,1,123.2,559,128,71,64,8,77,2,2,11,0,77,kr3013142
이한진,Wyverns,24,0,1,5.5588235294117645,23,2,0,0,1,0,0,34,141,37,23,21,1,8,1,2,0,0,14,kr3013148
이원재,Bears,19,1,4,6.9375,18,8,0,0,0,0,0,48,223,57,38,37,2,24,0,4,4,0,23,kr3013158
임태훈,Bears,19,6,5,3.413793103448276,57,0,0,0,6,3,14,87,354,69,34,33,6,28,2,0,3,0,83,kr3013161
오준형,Tigers,23,0,2,8.48572654025232,12,2,0,0,0,0,0,23.1,118,40,22,22,3,11,0,1,1,0,10,kr3013178
김혁민,Eagles,21,4,5,4.545920844677198,33,4,0,0,0,0,0,65.1,292,70,36,33,7,31,4,3,2,0,34,kr3013185
이범준,Twins,18,3,2,4.810907222326074,38,7,0,0,0,0,0,91.2,419,88,54,49,7,59,0,7,7,0,37,kr3013193
정찬헌,Twins,18,3,13,5.5015846349922395,39,14,0,0,0,1,2,106.1,490,131,70,65,10,36,0,9,9,0,59,kr3013196
박민석,Bears,18,0,1,1.626504043103085,15,1,0,0,0,0,0,27.2,113,18,8,5,1,8,0,7,1,0,24,kr3013202
진야곱,Bears,19,2,0,4.453612626078327,33,1,0,0,0,0,1,32.1,140,27,19,16,1,20,0,1,2,0,19,kr3013204
김성현,Heroes,19,0,4,4.026315789473684,22,2,0,0,1,1,0,38,162,29,20,17,0,20,0,2,5,0,30,kr3013207
송진우,Eagles,42,6,8,4.477375433681083,31,25,1,0,0,0,2,132.2,582,141,72,66,13,62,1,6,0,0,73,kr3013318
