Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
이창진,Tigers,29,22,88,99,29,20,8,1,0,19,7,10,0,17,1,0,0,2,0,1,0.32954545
강한울,Lions,28,34,105,122,32,28,3,0,1,13,10,11,0,24,0,1,5,3,1,0,0.3047619
박찬호,Tigers,25,141,480,531,107,88,16,0,3,63,36,36,0,87,0,3,12,14,15,8,0.22291667
박준태,Heroes,28,128,347,443,85,66,13,1,5,71,29,65,0,120,19,3,9,4,5,1,0.24495677
지시완,Giants,26,3,8,11,2,2,0,0,0,0,2,3,0,4,0,0,0,0,0,0,0.25
김민수,Lions,29,17,23,26,4,4,0,0,0,3,1,2,0,6,0,0,1,0,0,0,0.17391304
조용호,Wiz,30,132,409,482,121,106,15,0,0,73,32,64,1,83,2,2,5,6,12,3,0.29584352
유서준,Wyverns,24,28,24,25,6,4,1,0,1,10,2,1,0,7,0,0,0,2,1,1,0.25
강민국,Wiz,28,81,107,120,24,21,3,0,0,16,9,7,0,20,0,0,6,0,0,1,0.22429907
김태진,Dinos,24,82,263,280,62,55,5,1,1,28,23,13,0,45,1,1,2,2,7,4,0.23574144
백승현,Twins,25,27,28,39,7,6,1,0,0,5,2,4,0,8,1,0,6,0,0,0,0.25
신민재,Twins,24,67,26,32,8,7,1,0,0,26,5,4,0,4,0,0,2,1,8,2,0.30769231
허정협,Heroes,30,111,314,360,84,62,12,0,10,45,43,40,0,73,2,1,3,7,0,0,0.26751592
최정용,Tigers,23,38,56,59,11,9,1,0,1,5,5,2,0,15,0,0,1,0,0,0,0.19642857
김지수,Eagles,23,14,25,26,4,3,0,0,1,2,4,1,0,7,0,0,0,0,0,0,0.16
김재유,Giants,27,68,116,133,30,28,1,0,1,20,9,12,0,35,3,0,2,2,10,1,0.25862069
강태율,Giants,23,14,11,18,5,3,0,0,2,2,2,7,0,2,0,0,0,1,0,0,0.45454545
강로한,Giants,28,16,21,26,4,4,0,0,0,6,1,4,0,6,1,0,0,0,2,1,0.19047619
황대인,Tigers,24,63,116,138,32,24,4,0,4,14,16,21,0,29,0,1,0,4,0,0,0.27586207
김호령,Tigers,28,89,138,159,32,21,5,2,4,36,16,14,0,55,3,1,3,2,3,3,0.23188406
이도윤,Eagles,23,14,24,25,5,4,1,0,0,3,1,1,0,6,0,0,0,0,0,0,0.20833333
이현석,Wyverns,28,57,101,109,18,14,2,0,2,7,7,4,0,30,2,0,2,4,1,0,0.17821782
김웅빈,Heroes,24,73,207,235,57,36,13,0,8,25,31,17,1,65,3,3,5,6,1,0,0.27536232
홍창기,Twins,26,135,408,507,114,74,29,6,5,87,39,83,1,87,10,3,3,8,11,5,0.27941176
서예일,Bears,27,40,25,29,6,4,2,0,0,4,1,3,0,7,0,1,0,0,0,0,0.24
조수행,Bears,26,44,38,40,10,10,0,0,0,12,4,2,0,6,0,0,0,0,3,2,0.26315789
주효상,Heroes,22,63,84,101,16,12,4,0,0,6,7,13,0,26,0,1,3,0,0,0,0.19047619
이성규,Lions,26,98,216,245,39,21,7,1,10,25,30,18,0,64,5,2,4,7,3,1,0.18055556
최원준,Tigers,23,123,359,412,117,93,16,6,2,72,35,33,0,35,6,5,9,1,14,3,0.32590529
이진영,Tigers,22,32,22,27,5,4,1,0,0,4,5,5,0,9,0,0,0,1,1,0,0.22727273
이동훈,Eagles,23,37,38,39,4,4,0,0,0,5,1,0,0,14,1,0,0,0,0,0,0.10526316
장진혁,Eagles,26,19,32,37,5,4,0,1,0,2,1,5,0,6,0,0,0,0,2,1,0.15625
박상언,Eagles,23,38,46,47,10,7,3,0,0,4,2,0,0,16,1,0,0,1,0,0,0.2173913
김찬형,Dinos,22,56,64,72,19,13,6,0,0,10,7,4,0,11,1,1,2,0,3,1,0.296875
박준영,Dinos,22,32,46,51,7,3,4,0,0,4,3,2,0,17,3,0,0,2,1,0,0.15217391
도태훈,Dinos,27,11,11,13,2,2,0,0,0,0,1,2,0,3,0,0,0,0,0,0,0.18181818
이재율,Dinos,27,25,9,10,4,3,1,0,0,9,3,1,0,1,0,0,0,1,4,1,0.44444444
홍현빈,Wiz,22,40,18,24,0,0,0,0,0,5,1,5,1,5,0,0,1,0,0,1,0
이유찬,Bears,21,101,89,108,23,20,2,1,0,30,6,14,0,25,2,1,2,2,13,4,0.25842697
김혜성,Heroes,21,142,499,553,142,105,24,6,7,80,61,46,0,94,2,4,2,6,24,7,0.28456914
이정후,Heroes,21,140,544,617,181,112,49,5,15,85,101,59,6,47,4,8,2,16,12,3,0.33272059
김민수,Giants,22,3,8,10,2,2,0,0,0,1,0,2,0,4,0,0,0,0,1,0,0.25
