Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG
김상현,Wyverns,32,113,322,360,76,52,17,0,7,39,37,29,1,84,4,4,1,17,8,1,0.23602484
이성우,Tigers,31,15,22,24,3,3,0,0,0,0,0,0,0,7,0,0,2,1,0,0,0.13636364
김원섭,Tigers,34,42,96,119,18,9,8,0,1,12,12,23,0,20,0,0,0,0,1,0,0.1875
장민석,Heroes,31,115,360,407,87,67,16,2,2,54,30,35,0,63,0,3,9,4,20,11,0.24166667
박한이,Lions,34,112,394,466,112,91,12,3,6,56,55,51,0,74,1,2,18,5,4,4,0.28426396
신명철,Lions,34,37,72,86,17,16,1,0,0,10,5,9,0,20,0,1,4,4,3,2,0.23611111
박종윤,Giants,31,115,381,416,97,64,24,2,7,37,58,21,3,56,5,6,3,9,4,2,0.25459318
김경언,Eagles,30,70,214,249,59,43,14,1,1,24,24,26,0,53,3,5,1,5,2,5,0.27570093
김동건,Dinos,31,8,16,17,2,1,0,0,1,1,1,1,0,7,0,0,0,0,0,0,0.125
박준서,Giants,31,79,124,139,37,28,6,1,2,15,32,13,1,23,2,0,0,5,2,0,0.2983871
조중근,Heroes,30,10,10,10,3,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0.3
김강민,Wyverns,30,105,352,397,106,71,22,3,10,39,55,36,2,54,4,3,2,10,10,6,0.30113636
정상호,Wyverns,30,82,201,236,58,41,11,0,6,26,26,20,0,47,4,3,8,7,1,0,0.28855721
조동화,Wyverns,32,105,332,405,85,71,11,3,0,52,19,46,1,76,8,3,16,3,24,9,0.2560241
박재상,Wyverns,30,103,262,305,69,50,9,2,8,37,36,25,2,50,3,3,12,4,14,1,0.26335878
추승우,Eagles,33,72,158,180,48,40,7,0,1,19,17,17,0,21,4,1,0,2,12,2,0.30379747
안치용,Wyverns,34,17,41,45,10,9,0,0,1,2,5,4,0,17,0,0,0,0,1,0,0.24390244
김민우,Heroes,34,33,48,55,14,12,1,1,0,5,11,5,0,8,1,1,0,1,1,1,0.29166667
현재윤,Twins,33,53,100,126,26,20,5,0,1,10,8,10,0,14,3,0,13,3,1,2,0.26
최형우,Lions,29,128,511,573,156,99,28,0,29,80,98,47,1,91,7,8,0,5,2,1,0.30528376
손주인,Twins,29,125,351,423,93,70,17,3,3,42,41,40,0,63,6,6,20,8,9,6,0.26495726
조동찬,Lions,29,74,221,261,53,31,15,0,7,36,25,25,0,54,4,1,10,4,7,2,0.239819
신종길,Tigers,29,104,377,427,117,86,22,5,4,55,50,30,0,86,5,4,11,3,29,6,0.31034483
이현곤,Dinos,33,91,139,161,38,31,7,0,0,10,9,16,0,14,3,0,3,4,2,0,0.27338129
이대수,Eagles,31,122,390,448,100,71,23,2,4,54,42,38,0,88,6,3,11,10,11,4,0.25641026
이성열,Heroes,28,92,284,329,67,37,12,0,18,42,48,23,1,115,17,2,3,2,1,2,0.23591549
이대형,Twins,29,102,177,204,42,35,5,1,1,36,10,19,0,45,1,2,5,1,13,9,0.23728814
나주환,Wyverns,29,15,23,24,2,2,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0.08695652
지석훈,Dinos,29,105,309,357,68,42,21,2,3,25,35,31,0,82,7,4,6,7,2,1,0.22006472
강명구,Lions,32,55,58,63,11,10,0,1,0,22,6,4,0,4,1,0,0,4,11,1,0.18965517
정보명,Giants,32,12,19,23,3,2,1,0,0,1,0,4,0,2,0,0,0,3,0,0,0.15789474
박정준,Dinos,29,78,166,195,41,31,6,0,4,24,21,23,0,44,1,3,1,3,5,2,0.24698795
서동욱,Heroes,29,104,218,265,57,38,12,1,6,27,21,30,0,52,3,2,12,4,4,2,0.26146789
한상훈,Eagles,33,101,260,322,68,51,13,4,0,45,25,47,0,40,6,3,6,7,5,4,0.26153846
이양기,Eagles,32,56,185,209,57,45,8,1,3,16,30,17,0,25,5,1,1,10,0,0,0.30810811
최경철,Twins,32,38,53,65,13,10,2,1,0,6,5,4,0,17,2,1,5,0,0,1,0.24528302
박기남,Tigers,31,91,174,214,50,35,11,0,4,35,21,25,0,28,2,2,11,4,2,0,0.28735632
이시찬,Eagles,28,97,165,181,33,28,4,0,1,20,13,9,1,29,2,0,5,7,16,3,0.2
김태완,Lions,31,83,162,189,44,28,10,0,6,19,19,22,1,31,2,3,0,5,1,1,0.27160494
윤석민,Bears,27,21,68,73,20,13,5,0,2,12,8,4,0,14,1,0,0,1,2,0,0.29411765
용덕한,Giants,32,56,88,101,13,11,1,0,1,6,4,7,0,24,0,1,5,2,1,0,0.14772727
유한준,Heroes,31,97,298,344,81,61,13,0,7,37,40,37,2,48,4,2,3,7,4,3,0.27181208
조평호,Dinos,27,26,79,86,21,13,6,0,2,12,7,6,1,24,0,0,1,1,1,0,0.26582278
이정식,Lions,31,11,17,17,4,3,0,0,1,3,4,0,0,4,0,0,0,1,1,0,0.23529412
안태영,Heroes,28,12,34,37,12,9,2,0,1,3,3,1,0,14,2,0,0,0,0,0,0.35294118
김주형,Tigers,27,81,249,279,60,43,8,0,9,27,34,23,1,54,3,4,0,7,1,0,0.24096386
최진행,Eagles,27,106,367,422,110,75,27,0,8,39,53,50,1,86,3,1,1,18,0,0,0.29972752
고동진,Eagles,33,93,312,360,85,70,14,0,1,31,31,34,0,54,6,5,3,11,4,8,0.2724359
박노민,Eagles,27,27,64,68,14,10,4,0,0,4,7,2,0,23,0,0,2,2,1,0,0.21875
임훈,Wyverns,27,40,81,87,18,17,1,0,0,6,5,4,0,14,1,0,1,4,0,0,0.22222222
박정권,Wyverns,31,110,363,434,106,67,20,1,18,56,70,64,5,79,1,6,0,5,4,4,0.29201102
정의윤,Twins,26,116,367,405,100,75,15,5,5,42,47,26,2,45,8,3,1,10,5,4,0.27247956
차화준,Dinos,27,58,106,121,24,17,6,0,1,18,7,12,0,29,1,2,0,2,4,2,0.22641509
오재일,Bears,26,55,117,144,35,20,12,0,3,16,28,20,2,28,3,3,1,0,0,1,0.2991453
허준,Dinos,31,14,16,17,2,1,0,0,1,1,4,0,0,5,0,1,0,1,0,0,0.125
조영훈,Dinos,30,120,380,426,107,72,26,3,6,38,39,39,1,56,2,2,3,6,4,5,0.28157895
이원석,Bears,26,85,264,300,83,61,12,0,10,40,39,29,0,49,3,3,1,7,6,4,0.31439394
최훈락,Tigers,31,16,18,19,2,2,0,0,0,1,1,0,0,5,1,0,0,1,1,0,0.11111111
전현태,Eagles,26,21,33,39,5,2,1,1,1,4,3,4,0,14,2,0,0,0,0,0,0.15151515
오재필,Eagles,30,9,16,17,2,2,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0.125
정근우,Wyverns,30,112,407,476,114,83,19,3,9,64,35,50,6,48,7,1,11,6,28,11,0.280098285
이병규,Twins,29,73,172,202,50,41,6,1,2,24,26,26,0,47,3,0,1,0,1,1,0.29069767
최주환,Bears,25,47,91,100,27,19,5,1,2,12,10,8,1,9,0,1,0,3,1,0,0.2967033
신현철,Heroes,25,6,9,11,1,1,0,0,0,2,0,2,0,3,0,0,0,1,0,0,0.11111111
유재신,Heroes,25,75,20,23,4,4,0,0,0,22,2,2,0,9,1,0,0,1,7,8,0.2
이여상,Eagles,29,14,22,22,1,1,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0.04545455
양영동,Twins,29,48,39,45,9,8,1,0,0,12,2,3,0,13,0,0,3,0,4,4,0.23076923
모상기,Lions,26,5,8,10,1,1,0,0,0,0,0,2,0,3,0,0,0,0,1,1,0.125
김문호,Giants,26,40,137,166,36,26,10,0,0,19,10,21,0,31,3,0,5,1,8,5,0.26277372
황동채,Giants,29,34,43,51,10,10,0,0,0,8,1,6,0,19,1,0,1,0,1,0,0.23255814
정범모,Eagles,26,88,178,205,44,31,12,0,1,14,17,15,0,43,2,0,9,2,2,1,0.24719101
김태완,Eagles,29,93,279,321,64,48,13,0,3,24,23,33,1,78,7,2,0,8,1,2,0.22939068
송광민,Eagles,30,67,245,268,64,44,13,0,7,33,33,18,0,62,4,0,1,8,1,1,0.26122449
김성현,Wyverns,26,97,162,181,35,26,7,1,1,27,16,16,0,28,1,0,2,6,2,6,0.21604938
이재원,Wyverns,25,69,226,252,57,38,10,1,8,27,41,17,0,32,4,2,3,8,2,1,0.25221239
이명기,Wyverns,25,26,100,114,34,28,3,2,1,21,11,9,0,22,0,1,4,1,6,4,0.34
김재현,Wyverns,25,33,36,42,10,7,2,1,0,12,6,4,0,8,0,1,1,1,11,2,0.27777778
허도환,Heroes,28,116,260,323,56,42,12,1,1,29,19,29,0,86,14,0,20,7,0,2,0.21538462
김종호,Dinos,29,128,465,546,129,110,12,7,0,72,22,57,1,100,17,1,6,11,50,14,0.27741935
채태인,Lions,30,94,299,342,114,88,15,0,11,52,53,38,1,70,5,0,0,9,4,0,0.3812709
임익준,Eagles,25,36,63,67,16,15,1,0,0,6,1,4,0,13,0,0,0,3,1,3,0.25396825
김민성,Heroes,24,128,458,523,129,88,24,2,15,60,72,42,1,84,16,4,3,11,7,7,0.28165939
이준수,Eagles,25,47,65,74,13,10,3,0,0,6,6,3,0,21,3,1,2,0,0,0,0.2
김용의,Twins,27,109,301,348,83,67,6,5,5,42,34,34,2,58,0,3,10,6,21,7,0.27574751
최재훈,Bears,23,60,89,108,24,17,5,0,2,12,8,6,0,19,8,1,4,3,0,0,0.26966292
김대우,Giants,28,69,180,216,43,22,15,2,4,23,27,33,1,66,2,1,0,4,4,3,0.23888889
김선빈,Tigers,23,88,310,363,93,80,12,0,1,51,29,39,0,26,2,4,8,10,28,14,0.3
나지완,Tigers,28,125,435,522,125,86,18,0,21,57,96,62,1,111,18,5,1,12,7,3,0.28735632
백용환,Tigers,24,26,52,58,9,5,4,0,0,4,3,6,0,16,0,0,0,3,0,0,0.17307692
정현석,Eagles,29,121,356,403,102,82,15,1,4,47,27,37,1,64,7,0,3,14,4,5,0.28651685
오선진,Eagles,23,92,256,296,59,47,8,2,2,31,26,23,0,49,10,3,4,12,5,2,0.23046875
모창민,Dinos,28,108,395,436,109,70,24,3,12,57,51,37,0,68,1,1,2,11,16,3,0.27594937
윤요섭,Twins,31,89,186,228,38,28,8,1,1,20,30,23,0,32,6,4,9,6,2,3,0.20430108
오지환,Twins,23,124,441,514,113,76,20,8,9,81,47,54,0,113,9,3,7,7,30,7,0.25623583
